FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.489300,489300,POINT (16.387045595822244 48.26256200303435),"Jedlesee, Bellgasse","Jedlesee, Bellgasse","34A, 36A, 36B",119,2,
OEFFHALTESTOGD.489301,489301,POINT (16.301134393426697 48.236019210532675),Schafbergbad,Schafbergbad,42A,1155,2,
OEFFHALTESTOGD.489302,489302,POINT (16.328444711552784 48.24903400207197),Bellevuestraße,Bellevuestraße,39A,118,2,
OEFFHALTESTOGD.489303,489303,POINT (16.42853294436951 48.207756837896476),Chrastekgasse,Chrastekgasse,"79A, 79B",919,2,
OEFFHALTESTOGD.489304,489304,POINT (16.4287459276035 48.26252321791439),Serpentingasse,Serpentingasse,29A,1516,2,
OEFFHALTESTOGD.489305,489305,POINT (16.363926120569943 48.215759031488815),Liechtensteinstraße/Schottentor,Liechtensteinstraße/Schottentor,40A,1654,2,
OEFFHALTESTOGD.489306,489306,POINT (16.490005244295727 48.25388003505038),Am Rain,Am Rain,85A,1528,2,
OEFFHALTESTOGD.489307,489307,POINT (16.34717356221344 48.16784689729727),Clemens-Holzmeister-Straße,Clemens-Holzmeister-Straße,"65A, 7B",1571,2,
OEFFHALTESTOGD.489308,489308,POINT (16.24750782327091 48.20757031398792),Siriusweg,Siriusweg,"49A, 50B",1266,2,
OEFFHALTESTOGD.489309,489309,POINT (16.426949750266342 48.16050594080761),Wilhelm-Kreß-Platz,Wilhelm-Kreß-Platz,69A,1488,2,
OEFFHALTESTOGD.489310,489310,POINT (16.44452344320362 48.162385940135216),Hörtengasse,Hörtengasse,73A,571,2,
OEFFHALTESTOGD.489311,489311,POINT (16.467637681240976 48.20590053006628),Ulanenweg,Ulanenweg,95A,1399,2,
OEFFHALTESTOGD.489312,489312,POINT (16.423354332461358 48.131429821628245),Klederinger Straße,Klederinger Straße,70A,685,2,
OEFFHALTESTOGD.489313,489313,POINT (16.287153372080798 48.191499144874435),Unter Sankt Veit,Unter Sankt Veit,47A,1404,2,
OEFFHALTESTOGD.489314,489314,POINT (16.34843967607827 48.20427249824039),Neubaugasse/Burggasse,Neubaugasse/Burggasse,48A,920,2,
OEFFHALTESTOGD.489315,489315,POINT (16.44139683507219 48.21341176813554),Kaisermühlenstraße,Kaisermühlenstraße,"92A, 93A",642,2,
OEFFHALTESTOGD.489316,489316,POINT (16.409237533019336 48.19553657374687),Ludwig-Koeßler-Platz,Ludwig-Koeßler-Platz,"77A, 80A",821,2,
OEFFHALTESTOGD.489317,489317,POINT (16.439636255392504 48.229792531919124),Benatzkygasse,Benatzkygasse,93A,121,2,
OEFFHALTESTOGD.489318,489318,POINT (16.458711526323487 48.258970936046374),Tillmanngasse,Tillmanngasse,25A,785,2,
OEFFHALTESTOGD.489319,489319,POINT (16.260563800488136 48.2061362632353),Henckellgasse,Henckellgasse,47B,1615,2,
OEFFHALTESTOGD.489320,489320,POINT (16.41196306964112 48.19734374613185),Schüttelstraße,Schüttelstraße,"77A, 80A",1206,2,
OEFFHALTESTOGD.489321,489321,POINT (16.414116359626423 48.1991159840731),Klaschkaweg,Klaschkaweg,"77A, 80A",1568,2,
OEFFHALTESTOGD.489322,489322,POINT (16.36413891400858 48.154632821535415),Wienerfeld,Wienerfeld,"17A, 66A",1479,2,
OEFFHALTESTOGD.489323,489323,POINT (16.350221035035567 48.1814427961893),Eichenstraße,Eichenstraße,12A,267,2,
OEFFHALTESTOGD.489324,489324,POINT (16.272775712598058 48.16675159193898),Dr.-Schober-Straße,Dr.-Schober-Straße,"56A, 56B",248,2,
OEFFHALTESTOGD.489325,489325,POINT (16.365337547284824 48.23635519740711),Wexstraße,Wexstraße,"58B, 5B",1470,2,
OEFFHALTESTOGD.489326,489326,POINT (16.224110113660476 48.21402744490498),Anzengruberstraße,Anzengruberstraße,50B,74,2,
OEFFHALTESTOGD.489327,489327,POINT (16.488028443407437 48.24041214354199),Scheedgasse,Scheedgasse,95A,596,2,
OEFFHALTESTOGD.489328,489328,POINT (16.38439930136105 48.20612705768352),Landstraße-Wien Mitte,Landstraße-Wien Mitte,74A,743,2,
